Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Overall_Score,Feedback
340,5,2,7,6,9,2,1,8,5.0,"Average experience, assignments were manageable."
253,6,5,8,6,2,1,2,9,4.875,I struggled to understand the concepts.
680,7,7,6,5,4,2,3,1,4.375,Poor explanations and unclear assignments.
806,9,6,7,1,5,9,4,6,5.875,"Average experience, assignments were manageable."
632,8,10,8,4,6,6,9,9,7.5,"Some topics were clear, others a bit confusing."
832,7,2,7,8,3,5,1,4,4.625,Poor explanations and unclear assignments.
772,9,3,5,2,10,3,8,1,5.125,"Average experience, assignments were manageable."
961,9,8,7,4,4,3,3,10,6.0,"Average experience, assignments were manageable."
814,6,5,8,6,4,4,7,9,6.125,The course was okay but could be improved in some areas.
863,5,9,4,7,9,4,4,5,5.875,The course was okay but could be improved in some areas.
576,10,3,8,6,6,3,6,9,6.375,The course was okay but could be improved in some areas.
702,8,4,7,1,2,1,8,8,4.875,I struggled to understand the concepts.
541,5,4,4,2,2,7,8,1,4.125,Poor explanations and unclear assignments.
552,5,6,7,2,7,4,4,2,4.625,Poor explanations and unclear assignments.
510,6,7,8,3,4,7,7,6,6.0,"Some topics were clear, others a bit confusing."
159,7,7,6,6,3,9,3,1,5.25,"Average experience, assignments were manageable."
223,9,10,4,5,7,10,10,6,7.625,"Some topics were clear, others a bit confusing."
807,8,3,4,2,2,4,6,1,3.75,Poor explanations and unclear assignments.
525,9,9,4,3,5,5,9,2,5.75,"Some topics were clear, others a bit confusing."
799,5,6,5,4,2,1,1,7,3.875,I struggled to understand the concepts.
24,9,10,6,10,2,10,1,9,7.125,"Some topics were clear, others a bit confusing."
509,8,2,7,5,2,3,4,4,4.375,The course was difficult to follow and needs improvement.
797,9,10,4,10,9,2,10,7,7.625,The course was okay but could be improved in some areas.
418,8,8,6,7,9,5,2,8,6.625,"Some topics were clear, others a bit confusing."
48,5,5,4,2,1,10,10,9,5.75,The course was okay but could be improved in some areas.
657,9,5,7,3,2,8,10,6,6.25,The course was okay but could be improved in some areas.
864,9,8,5,2,3,9,2,8,5.75,"Average experience, assignments were manageable."
861,5,6,4,5,4,4,6,6,5.0,The course was okay but could be improved in some areas.
118,9,10,7,7,4,6,9,1,6.625,The course was okay but could be improved in some areas.
387,7,3,8,1,6,8,6,8,5.875,"Some topics were clear, others a bit confusing."
282,5,6,7,3,8,1,1,9,5.0,"Some topics were clear, others a bit confusing."
503,8,6,6,3,3,6,4,10,5.75,The course was okay but could be improved in some areas.
934,5,6,4,6,10,3,4,10,6.0,The course was okay but could be improved in some areas.
781,8,3,4,5,1,8,10,5,5.5,"Some topics were clear, others a bit confusing."
898,10,10,4,3,5,4,2,1,4.875,I struggled to understand the concepts.
474,8,3,7,6,4,3,7,7,5.625,"Some topics were clear, others a bit confusing."
